text;label
rt fadli zon minta mendagri segera menonaktifkan ahok jadi gubernur dki ;Non_HS
rt mereka terus melukai aksi dalam rangka memenjarakan ahok atau ahok gagal dalam pilkada;Non_HS
sylvi bagaimana gurbernur melakukan kekerasan perempuan buktinya banyak ibu mau foto bareng ;Non_HS
ahmad dhani tak puas debat pilkada masalah jalan di bekasi belum sempat terungkap ;Non_HS
rt waspada ktp palsukawal pilkada ;Non_HS
 masih bnyak hal agamis yg bisa dibahas kenapa ke pilkada terus apa tingkat keimanan anda cuma sebatas pilkada;Non_HS
 apa maksud pernyataan anda apa anda mengaminkan kriminalisasi ahok hati jg dg mulutmu pak ;Non_HS
ahok akan integrasikan transportasi publik dengan sistem single ticketingu ;Non_HS
ahok mampu melawan korupsi di ibukota bangun infrastruktur mencoba memperbaiki dengan berbagai trobosan dan works well;Non_HS
awasi kecurangan pilkada agus sylvi pakai aplikasi ini ;Non_HS
bisa gak kita seperti jokowi dan ahok aku kalem kamu tegas saling melengkapi ;Non_HS
bos mau makan di istana ga di undang noh makan di istana gebang tapinya ;Non_HS
cuti habis ahok jadi gubernur dki lagi pengamat jangan mengadaada republika online ;Non_HS
debat terakhir pilkada dki jakarta digelar jumat malam ;Non_HS
demonstran fpd malteng desak bawaslu hentikan sementara tahapan pilkada maluku tengah;Non_HS
dulu didesak berhentikan ahok ngeles usai masa cuti pilkada sekarang kampanye mau habis kemendagri raguragu ;Non_HS
gila gara pilkada beberapa tokoh menampakkan watak aslinya;Non_HS
gontor izinkan santrinya pulang kampung nyoblos pilkada dki republika online ;Non_HS
gubernur nonaktif dki jakarta basuki tjahaja purnama atau ahok berencana merombak struktur jabatan pegawai ;Non_HS
hebat imam besar masjid istiqlal kalimat ahok tidak ada penistaan agama sebarkan;Non_HS
ibu aja kalo beli telor pake milih sblm ditimbang pdh telor kan mirip ibu itu tahu telor ada yg busuk;Non_HS
ini jawaban ahok saat ditanya terkait persiapan debat pilgub terakhir besok ;Non_HS
ini pesan ahok di hari pers nasional ;Non_HS
istighotsah bersama ahok catut logo nu ;Non_HS
itu yang ngomong jangan pilih ahok djarot pernah ngerasain banjir ga sih ;Non_HS
iya aja deh dripada hoax;Non_HS
jadi teringat para pelacurbelia yg dijual orang tuanyasendiri di panturademi sesuap nasi ;Non_HS
jadi yg nyebar hoax ketahuan dong ada akun twitter nya lho;Non_HS
mpok tolong mas ;Non_HS
ke bidara beli mangga pulang nye liwat slipi jangan lupa ingetin tetangga untuk milih agus sylvi ;Non_HS
serius tapi ada selipan hiburannya uddudeuddudeuddude ;Non_HS
sylvie sukses blunder bikin paslon drop elektabilitasnya dengan fitnah dan spin salah pilih kader ;Non_HS
ahok mari berlomba program ;Non_HS
 aduh kecewa pertanyaan paslon ;Non_HS
rt saya pilih nomor sektor informal akan dimajukan mas agus dan mpok sylvi;Non_HS
rt ahok pilihan terbaik untuk jakarta;Non_HS
rt bu silvy curhat karena pernah dimarahi sama pak ahokhehe;Non_HS
mantap pak ahok ;Non_HS
ahok gagah kaya gatot kaca ;Non_HS
telaaaakkk nomer satuuuu nghahahaha ;Non_HS
lomba adu program ;Non_HS
 denger banyak program dan janji dan sering tau pas jadi ga dijalankan rasanya males aja sih;Non_HS
debat cagub dki ke februari segmen mantap ahok skak sylviana murninn;Non_HS
pertanyaan ibu silvy rada maksa ;Non_HS
tanggal pas pilkada nanti sy gak akan milih siapasiapa ah;Non_HS
saya pribadi bakal prefer kok muslim dengan kapabilitas tetapi lihat kondisinya ahok menjadi pilihan plg realistis buat kemajuan dki;Non_HS
yang mendukung mas anies bukan berarti anti pak ahok begitu pula sebaliknya;Non_HS
spanduk tolak salatkan pembela penista agama juga muncul di kalibata ;Non_HS
 telak banget anjir ngakak;Non_HS
ayo berlomba program jangan fitnah ;Non_HS
rt akhirnya nggak ngantuk lagi yeay ;Non_HS
duh dibilang ga punya program paslon kesian kesian kesian ;Non_HS
tuntut keadilan bagi penista agama puluhan jawara betawi ikuti aksi jilid ii ;Non_HS
keras nih ahok ;Non_HS
paslon anies sandiaga uno feb utk jakarta indonesia raya ok oce;Non_HS
sesuai namanya ronde finalnn;Non_HS
mendagri tambah pusing ketika ma emoh keluarkan fatwa status gubernur penista agama ;Non_HS
tolong adu program;Non_HS
genderang perang makin kencang ;Non_HS
mpok sylvi udah mulai emosi udduden ;Non_HS
some people gabisa bedain kasar sama tegas ;Non_HS
beliau para pemimpin hebat indonesia kita bangga ;Non_HS
 mungkin bu silvy jg pengen foto sama pak ahok hihihi ;Non_HS
 mulai saling serang deh;Non_HS
rt baca ini dulu lah biar mendinginkan suasana ;Non_HS
ayo berlomba program jgn pitnah doank ;Non_HS
rt pokoknya kalo ahok udah ngomong aduuuuuuh kelar ;Non_HS
senjata makan tuan ;Non_HS
ahok kekerasan verbal masa koruptor dielus ;Non_HS
rt gak ada program yang mau diserang yang diserang karakternya ahay uddude ;Non_HS
terkait jakarta tak ramah anak apa tanggapan pak ;Non_HS
emang ok oce anies dan sandi dalam mengatasi urbanisasi dan lapangan kerja ;Non_HS
suporternya mulai kampungan paslon masih ngomong jg ;Non_HS
mulai seru ni ;Non_HS
 nangis nangis ketonjok lagi;Non_HS
rt jadi debat terakhir nanti malam pilihanmu jatuh ke paslon yang mana ;Non_HS
rt wkwkwk udah dah pilih anies sandi aja ;Non_HS
fitnah lebih kejam loh dari pembunuhan ;Non_HS
mari jangan coba pakai ;Non_HS
rt apapun itu keberanian ahok membongkar mafia anggaran menjadi tonggak penting menuju apbd yg kredibel dan akuntabel;Non_HS
rt inilah wujud nasionalisme dagangannya hebat ;Non_HS
pak dosen makin keliatan aslinya ;Non_HS
rt dulu di awal kampanye bukannya uda deklarasi anti sara tadinya gw pikir no lebih mending dari no;Non_HS
 mateng mpok silvy di bombardir pak ahok jawaban cerdas pak ahok;Non_HS
 mohon tenang;Non_HS
yg no nih ngomongin hal yg di luar program mulu ya ngga ada bhan ya bwt serang lawan cape dehh ;Non_HS
cinta pak ahok pokoknya ;Non_HS
 nggak cuma ibu yang pengen foto sama ahok bapak juga lho;Non_HS
mas agus saya akui malam inirambut kamu bagus ;Non_HS
rt ahok janji berani tutup tempat hiburan malam yang jual narkoba;Non_HS
agussylvi sisipkan bahasa jawa saat debat ;Non_HS
rt ahok udah perhatikan penyandang disabilitas jauuuh sebelum kandidat lain berjanji ;Non_HS
ahok keren ;Non_HS
gimana ya tim ahok kok makin disudutkan mungkin karena ini final kali y;Non_HS
nih fakta buat yg asbun ;Non_HS
siapsiap meme cctv ;Non_HS
nyinyir tingkat nasional ;Non_HS
drama bgt itu ;Non_HS
ini judulnya debat atau nyerang paslon ;Non_HS
lha kok menyerang gitu ya ;Non_HS
debat sama berantem beda tipis ;Non_HS
orang tegas dibilang makimaki orang ;Non_HS
 atau perempuan berbeda dengan kaum perempuan ;Non_HS
mantap ok oce anies sandi dalam mengatasi urbanisasi dan lapangan kerja;Non_HS
rt ga seru nih selalu mengungkit masa lalu kekerasan verbal semua pernah lakukan manusia biasa ;Non_HS
satu perempuan bukan semua perempuan ;Non_HS
 pertanyaan paslon dpt dikategorikan sbg kekerasan dalam debat;Non_HS
 pak maafkan saya biarkan malam ini saja saya memposting ujaran kebencian hanya malam ini saja pak xoxo ;Non_HS
semoga allah memenangkan pak aniessandi ;Non_HS
