text;sentiment
asik dapat wifinya;Positive
trip nyaman wifi perjalanan;Positive
terima kasih seharian setia supir pribadi ;Positive
iya nih pasti bersih;Positive
terima kasih atas responnya;Positive
terima kasih bantuannya grab;Positive
terima kasih diskon seharian;Positive
pake coba gratis grab gratis;Positive
 makasih infonya mudah dimengerti ;Positive
salut drivernya;Positive
bonus enak terima kasih grab ;Positive
user friendly;Positive
trip nyaman wifi perjalanan;Positive
 top up grabpay alfamart sistem eror ;Negative
aplikasi grab force close diuninstall install lagi kenapa ;Negative
grabcar susah masuk wilayah rumah ;Negative
 cancel booking grab car solusinya gimana;Negative
 habis upgrde aplikasi ko log in berkali masukin kode ;Negative
tolong ditindak lanjuti berkali cancel persulit cancel alasan barangnya habis;Negative
 dipakai saldonya mohon dicek ;Negative
aplikasi grab tidak bisa klik;Negative
halo applikasi grab ketutup setelah order grabfood hub drivernya;Negative
 pesen grabfoodkdg app open tp aslinya close driver nya suka kayak bete gitu ditelfon seolah kita salah ;Negative
halo kemarin jam segini pesan grab failed contact the grab server pagi ;Negative
server penuh susah bener;Negative
 sekarang grab tidak ada aplikasi chat online nya ;Negative
 jam segini susah nyari grab profesional ;Negative
tidak direkomendasikan top up grab pay suruh nunggu hari kerja konfirmasi saldonya;Negative
min connect jaringan app grab lagi error saya mau buka app nya langsung close lagi sendiri ya ;Negative
saya tidak bisa pilih pembayaran grabpay saya sudah daftar dan top up mohon solusinya ;Negative
driver ramah;Positive
suka pakai grab;Positive
pelayanan memuaskan;Positive
drivernya baik banget diantar sampai depan;Positive
makasih grab;Positive
