text,sentiment
asik dapat wifinya,1
trip nyaman wifi perjalanan,1
terima kasih seharian setia supir pribadi ,1
iya nih pasti bersih,1
terima kasih atas responnya,1
terima kasih bantuannya grab,1
terima kasih diskon seharian,1
pake coba gratis grab gratis,1
 makasih infonya mudah dimengerti ,1
salut drivernya,1
bonus enak terima kasih grab ,1
user friendly,1
trip nyaman wifi perjalanan,1
 top up grabpay alfamart sistem eror ,0
aplikasi grab force close diuninstall install lagi kenapa ,0
grabcar susah masuk wilayah rumah ,0
 cancel booking grab car solusinya gimana,0
 habis upgrde aplikasi ko log in berkali masukin kode ,0
tolong ditindak lanjuti berkali cancel persulit cancel alasan barangnya habis,0
 dipakai saldonya mohon dicek ,0
aplikasi grab tidak bisa klik,0
halo applikasi grab ketutup setelah order grabfood hub drivernya,0
 pesen grabfoodkdg app open tp aslinya close driver nya suka kayak bete gitu ditelfon seolah kita salah ,0
halo kemarin jam segini pesan grab failed contact the grab server pagi ,0
server penuh susah bener,0
 sekarang grab tidak ada aplikasi chat online nya ,0
 jam segini susah nyari grab profesional ,0
tidak direkomendasikan top up grab pay suruh nunggu hari kerja konfirmasi saldonya,0
min connect jaringan app grab lagi error saya mau buka app nya langsung close lagi sendiri ya ,0
saya tidak bisa pilih pembayaran grabpay saya sudah daftar dan top up mohon solusinya ,0
driver ramah,1
suka pakai grab,1
pelayanan memuaskan,1
drivernya baik banget diantar sampai depan,1
makasih grab,1
